ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender,Married,Dependents,Education,Self_Employed,Property_Area,mobile_usage_score,transaction_stability_score,bank_balance,total_income,emi,income_to_emi_ratio,credit_utilization,stability_score,cibil_proxy_score,Approved
102595,62499,805726,299,1,Female,Yes,0,Graduate,No,Semiurban,813,747,54835,165094,2694.735785953177,61.24264880121584,7.6856584156054755,0.871263157894737,365.3565442715192,1
164405,59200,216762,153,0,Female,No,0,Graduate,No,Urban,467,540,676599,223605,1416.7450980392157,157.7187608049236,0.29832410999739883,0.37484210526315787,211.1235028640233,0
64390,48231,2326643,234,0,Female,No,2,Not Graduate,No,Urban,481,871,589179,112621,9942.918803418803,11.32561540640094,3.6400491880991086,0.5186315789473684,241.88746848706052,1
191447,35283,1257404,23,0,Female,Yes,2,Graduate,No,Urban,488,464,283533,226730,54669.739130434784,4.147191049659344,3.7699537976751927,0.34947368421052627,201.2625569837884,0
76340,112323,281136,267,1,Female,Yes,0,Graduate,No,Semiurban,824,750,507634,188663,1052.943820224719,179.0066950245733,0.5041586416897105,0.8760000000000001,373.39620556711714,1
115825,107167,2321307,35,1,Male,No,0,Graduate,No,Semiurban,922,688,628323,222992,66323.05714285714,3.362158613422753,3.4221263321456004,0.8808421052631579,383.73881800789013,0
111324,120208,2485959,259,1,Female,Yes,1,Not Graduate,No,Semiurban,851,854,383483,231532,9598.297297297297,24.119682183943645,5.734847733359786,0.9283157894736842,406.1384651063842,0
172208,25108,1141469,63,1,Female,No,2,Not Graduate,Yes,Urban,446,931,533176,197316,18118.555555555555,10.88967107360985,1.9573319203808113,0.8328421052631578,360.07528886258183,1
96198,73688,1936722,310,1,Male,Yes,0,Graduate,No,Rural,851,533,38673,169886,6247.490322580645,27.188327296606356,21.841169239791142,0.7931578947368421,333.9048474209318,0
67643,33293,138930,115,1,Male,Yes,1,Graduate,Yes,Urban,501,361,740246,100936,1208.0869565217392,83.48117515912114,0.17580601483588654,0.6102105263157895,242.0935573224349,0
18998,133954,278513,75,1,Female,Yes,3+,Graduate,No,Semiurban,863,402,738857,152952,3713.5066666666667,41.17693511565466,0.35305891942392603,0.7417894736842106,308.06858583241916,1
82280,40111,727587,129,1,Male,No,0,Graduate,No,Urban,944,780,168206,122391,5640.209302325581,21.695879986148444,3.3344041868692886,0.9265263157894736,376.3825272870941,1
167864,21586,1657762,12,1,Male,Yes,1,Graduate,No,Semiurban,766,536,381952,189450,138146.83333333334,1.3713570124757657,3.837838463532985,0.7675789473684211,328.9012169566388,1
16834,85479,376885,69,1,Male,Yes,1,Not Graduate,No,Semiurban,920,390,190978,102313,5462.101449275362,18.728006600274835,1.5639809443185686,0.7547368421052632,299.9022621297682,1
180789,131860,133739,220,1,Male,Yes,1,Graduate,No,Semiurban,392,829,319685,312649,607.9045454545454,513.4614322292642,0.36176474566184724,0.7728421052631579,365.51922607693933,0
115423,137359,1688488,116,0,Female,No,2,Graduate,No,Rural,725,721,220217,252782,14555.931034482759,17.365061316922144,6.24863720639338,0.5325263157894737,282.64903312078684,1
40946,14414,1936958,135,0,Male,Yes,1,Graduate,No,Rural,333,385,689180,55360,14347.837037037038,3.8581523964001727,2.620414513379691,0.26726315789473687,123.42113154246252,1
70903,48884,1861071,292,1,Male,No,1,Graduate,No,Semiurban,723,763,555802,119787,6373.530821917808,18.791500636898878,3.0720780056850256,0.849578947368421,345.1041922701762,0
117496,23028,2008096,55,1,Female,No,0,Not Graduate,No,Semiurban,521,714,676462,140524,36510.836363636365,3.848724523205675,2.764213406895337,0.765157894736842,316.6811251602782,1
73403,46179,2016985,149,1,Male,Yes,2,Graduate,No,Rural,930,940,634316,119582,13536.812080536913,8.833185103220709,2.9474467935865887,0.9894736842105263,401.9007903199197,0
35086,80076,1525905,76,1,Female,No,0,Graduate,No,Rural,621,941,581808,115162,20077.697368421053,5.73553143846483,2.4151403590964344,0.8923157894736842,362.2993921729239,1
138207,42085,1322562,180,1,Male,No,0,Not Graduate,Yes,Semiurban,795,933,133324,180292,7347.566666666667,24.534308277804744,7.214341821038162,0.9438947368421053,399.61558251542,1
139364,10127,2149307,127,1,Female,Yes,0,Graduate,Yes,Rural,496,881,663487,149491,16923.67716535433,8.832723870563136,3.0123982637385125,0.8275789473684212,345.11700461369696,0
36991,76504,902665,28,1,Female,Yes,1,Graduate,No,Rural,348,815,626470,113495,32238.035714285714,3.5204216715982066,1.3343755081526159,0.7530526315789474,305.69014314327643,0
67028,7921,289814,36,1,Male,Yes,3+,Graduate,No,Rural,782,736,99462,74949,8050.388888888889,9.308828704502329,1.939048052347754,0.8568421052631578,336.07401351112753,1
60116,34004,1892309,308,0,Male,Yes,2,Graduate,No,Urban,444,654,70204,94120,6143.86038961039,15.316865483085062,15.742479451598948,0.41557894736842105,194.46800760073285,1
136993,77,726013,31,1,Male,Yes,2,Graduate,Yes,Rural,769,815,608732,137070,23419.774193548386,5.852496542909245,1.1021371361949928,0.8859999999999999,364.45636742278424,0
150104,13023,2448191,284,1,Male,No,0,Not Graduate,No,Semiurban,602,927,312143,163127,8620.390845070422,18.921192987471795,6.760288063002736,0.880421052631579,369.9691460463743,0
149494,65447,1064734,330,1,Female,No,1,Graduate,No,Semiurban,931,375,262427,214941,3226.4666666666667,66.59743452036685,3.4079448959276886,0.7518947368421052,327.991554098057,1
188670,127607,2136892,174,1,Male,Yes,3+,Graduate,No,Semiurban,529,388,317222,316277,12280.988505747126,25.75128610908601,5.81907402061968,0.630421052631579,306.4143103478218,0
157199,116193,154021,120,1,Male,Yes,0,Not Graduate,No,Urban,560,624,693995,273392,1283.5083333333334,212.83785624849972,0.20701886437408853,0.7395789473684211,340.4178828514615,0
74325,14824,1665115,282,1,Male,Yes,2,Graduate,No,Rural,781,490,290957,89149,5904.663120567376,15.095510559944566,4.883651017576996,0.7529473684210526,296.59807543134013,0
34932,5225,1148129,353,1,Male,Yes,1,Graduate,No,Semiurban,810,645,296185,40157,3252.490084985836,12.342745467495353,3.316518624434912,0.8273684210526315,314.5857908119701,1
128708,50713,1183375,53,1,Female,Yes,0,Graduate,No,Urban,381,502,319419,179421,22327.830188679247,8.035396323223718,3.203340921825894,0.6316842105263158,272.2136893511591,0
184462,97838,699772,347,0,Male,No,1,Graduate,No,Semiurban,781,808,43443,282300,2016.6340057636887,139.91635707643985,7.488757852380596,0.5868421052631579,312.5633929630991,0
195403,112009,2429424,340,0,Male,No,0,Graduate,No,Urban,619,883,29965,307412,7145.364705882353,43.016556340451174,30.38109172763084,0.5672631578947369,311.9800016208722,0
57589,123469,1012200,61,1,Male,Yes,0,Graduate,No,Semiurban,942,483,331504,181058,16593.44262295082,10.910761157448523,2.6531831907398087,0.8008421052631578,339.4401234612568,0
58744,51330,2133675,31,0,Female,No,0,Graduate,No,Semiurban,710,802,13453,110074,68828.2258064516,1.5992334464073308,33.626069689376386,0.5618947368421052,257.77398181728717,0
21921,25200,1091501,260,1,Male,Yes,0,Graduate,Yes,Semiurban,802,369,605421,47121,4198.080769230769,11.221741754834621,1.6653433442016659,0.7086315789473685,267.0998941367842,0
41133,3952,168275,39,1,Male,No,0,Graduate,No,Urban,523,817,339511,45085,4314.74358974359,10.446635455161186,0.43201604062529686,0.8091578947368421,310.0945215966749,1
117647,22029,2204558,221,1,Male,Yes,2,Graduate,Yes,Urban,484,753,400745,139676,9975.37556561086,14.000675804695163,4.890920587028142,0.7698947368421053,318.6602234343388,1
116158,9774,503518,34,0,Male,Yes,0,Graduate,No,Urban,810,761,268853,125932,14809.35294117647,8.5029708947636,1.5791540302270952,0.5762105263157895,267.2299482912823,0
83620,129120,712335,252,1,Female,No,2,Graduate,No,Semiurban,309,620,610907,212740,2826.7261904761904,75.23359252975426,1.0778142764413148,0.6586315789473685,292.54319950042407,1
72341,40261,2159711,92,0,Male,Yes,1,Graduate,Yes,Rural,677,369,342006,112602,23475.119565217392,4.796448564984862,5.5093825094513855,0.36915789473684213,178.53251903801234,1
168511,123468,2239670,45,1,Male,Yes,0,Graduate,Yes,Rural,929,847,28218,291979,49770.444444444445,5.866395947698702,28.633690454882508,0.95,430.40974650716515,1
100106,82973,2296048,35,1,Female,Yes,0,Graduate,Yes,Semiurban,944,371,390644,183079,65601.37142857142,2.79073752995863,5.21066439120923,0.7543157894736843,320.61658854159134,0
164526,80841,1093628,77,0,Male,No,3+,Graduate,Yes,Urban,765,612,141731,245367,14202.961038961039,17.274547524240997,5.70397066723691,0.49926315789473685,266.6424455054082,1
193194,68218,1904583,200,0,Male,No,1,Graduate,No,Urban,623,413,476018,261412,9522.915,27.447956013887143,3.6207563239280787,0.3706315789473684,218.24712497793007,1
73670,122879,853128,38,0,Male,Yes,3+,Graduate,No,Rural,828,850,450886,196549,22450.736842105263,8.754289317670887,1.7032378625076365,0.6193684210526316,303.45048741942674,1
52506,6517,1863957,291,1,Male,Yes,0,Not Graduate,No,Semiurban,309,673,379657,59023,6405.350515463918,9.213201784311957,4.3382442273720665,0.6809473684210526,261.77533321948636,0
191286,13913,1281154,222,1,Female,No,2,Graduate,No,Urban,815,630,308251,205199,5770.963963963964,35.550984254426496,3.576135167801346,0.8226315789473684,355.5787892229365,1
132443,63508,177299,115,0,Female,Yes,2,Graduate,No,Semiurban,423,506,476789,195951,1541.7304347826087,127.01570901958132,0.3365654939643766,0.3466315789473684,192.4697100230685,0
68819,59172,1073471,355,0,Female,Yes,3+,Not Graduate,No,Semiurban,778,808,544140,127991,3023.861971830986,42.31300508648515,1.8067643989632074,0.5858947368421052,271.9913122697131,1
130044,81839,1195929,241,1,Female,No,0,Graduate,No,Urban,526,436,702858,211883,4962.360995850622,42.68941956410878,1.5885186847984614,0.6496842105263159,287.24495329861963,0
110285,110669,680562,245,0,Male,Yes,3+,Not Graduate,No,Urban,788,768,770043,220954,2777.804081632653,79.5140619881993,0.829910138858572,0.5722105263157895,290.45792447314415,1
182523,88131,967450,72,1,Male,No,0,Not Graduate,No,Semiurban,692,930,66515,270654,13436.805555555555,20.141235031348124,8.303222761017894,0.9101052631578948,409.7546411938882,1
62353,38617,1281564,259,1,Male,Yes,2,Graduate,No,Urban,904,472,527889,100970,4948.123552123552,20.40159210749066,2.2176646380187197,0.7842105263157895,311.9024142312579,1
198405,49093,171769,206,1,Female,No,1,Graduate,Yes,Semiurban,811,745,67721,247498,833.8300970873786,296.4651141154238,1.4591194434298043,0.8697894736842104,386.22256529075844,1
188168,112849,421914,354,1,Female,Yes,1,Graduate,No,Rural,894,501,333890,301017,1191.8474576271187,252.35162977066696,1.0990492068040325,0.7932631578947369,367.83912127018493,0
48429,30220,1928618,178,1,Male,Yes,0,Not Graduate,No,Rural,398,904,593031,78649,10834.932584269663,7.258166234272572,2.9992613108854784,0.8063157894736843,318.43785358892944,1
45452,75626,912228,247,1,Male,Yes,2,Graduate,No,Urban,546,884,433891,121078,3693.230769230769,32.77488807912545,1.8851931530034656,0.8446315789473684,344.4904943081336,1
113634,80818,1540543,130,0,Female,No,0,Not Graduate,Yes,Urban,584,503,646236,194452,11850.33076923077,16.40760888261169,2.212673576201173,0.39621052631578946,211.67922454289953,1
23308,112539,1436186,25,0,Female,No,0,Graduate,No,Semiurban,320,450,730261,135847,57447.44,2.364676917249624,1.8406481933609395,0.2905263157894737,154.13777920247298,0
70277,107153,1400484,56,1,Female,No,1,Graduate,No,Urban,314,353,779105,177430,25008.64285714286,7.094463564053864,1.6891515549900193,0.5477894736842105,237.24503919037434,0
95492,69701,1062850,313,0,Male,Yes,2,Graduate,Yes,Rural,325,753,538391,165193,3395.6869009584666,48.633567007128725,1.8063668546935625,0.4196842105263158,215.43233350603342,0
194334,46374,1234121,268,1,Male,Yes,0,Graduate,No,Semiurban,798,897,538721,240708,4604.929104477612,52.26046570408518,2.0962748058927745,0.9296842105263159,409.4287884993329,1
198589,55185,2068585,138,1,Male,No,1,Graduate,No,Semiurban,590,394,642543,253774,14989.746376811594,16.92871012697205,2.9869408830931796,0.6522105263157896,298.807446460565,1
43034,61738,2414371,254,1,Male,No,0,Not Graduate,Yes,Rural,788,830,186428,104772,9505.397637795275,11.021209504581458,10.211865768859864,0.8983157894736842,361.04282503552895,1
179960,32878,678968,13,1,Female,Yes,1,Graduate,No,Urban,842,790,241214,212838,52228.307692307695,4.075068374520052,2.331508787352256,0.8985263157894736,388.9437282376199,0
31821,93811,1690211,24,1,Male,No,1,Not Graduate,Yes,Semiurban,323,606,273013,125632,70425.45833333333,1.7838750232955773,5.232640791547089,0.6571578947368422,269.1517990957849,1
153492,31256,2425940,188,1,Male,Yes,2,Not Graduate,No,Rural,850,445,595456,184748,12903.936170212766,14.316072358919232,3.7584901217124016,0.7557894736842106,322.2513585658754,1
171443,97301,68581,229,0,Male,Yes,2,Graduate,Yes,Urban,446,724,280963,268744,299.48034934497815,894.3812817904375,0.20721651664989743,0.4456842105263158,252.45709131588774,1
179796,112723,1972568,338,1,Male,No,1,Graduate,Yes,Urban,562,686,111545,292519,5836.0,50.114613671406545,12.210640997864372,0.7663157894736843,356.5004150590606,1
56332,144275,1267211,276,1,Male,Yes,0,Graduate,No,Rural,925,827,638920,200607,4591.344202898551,43.68291903585599,1.8394167682749811,0.9403157894736842,402.6075855371889,0
180287,17836,2420602,101,1,Male,Yes,1,Graduate,No,Semiurban,496,666,599820,198123,23966.356435643564,8.266368488823288,3.7250346249730693,0.7370526315789474,320.16051019847004,0
36456,113959,1466755,295,1,Female,Yes,0,Not Graduate,No,Urban,910,331,475355,150415,4972.050847457627,30.246020926348795,2.7919311703514764,0.7267368421052631,300.85770413582907,0
110988,12897,2103434,183,0,Male,No,0,Not Graduate,No,Urban,629,432,705246,123885,11494.174863387978,10.777130532791853,2.7850978356720857,0.3805263157894737,186.49671028067138,0
101865,50587,456735,299,1,Male,Yes,2,Not Graduate,No,Semiurban,308,547,633475,152452,1527.5418060200668,99.73688609600161,0.6682541424338857,0.627578947368421,263.93833717325674,1
73446,26443,398154,72,1,Male,No,0,Graduate,No,Semiurban,841,619,720185,99889,5529.916666666667,18.06011661719727,0.5169589124690821,0.8262105263157895,329.47081663014876,1
19091,24342,2320120,21,0,Male,Yes,0,Graduate,No,Semiurban,328,527,207812,43433,110481.90476190476,0.3931196422976017,8.999270786464555,0.32547368421052636,144.53918002680228,0
157822,26301,1339827,32,1,Female,Yes,3+,Graduate,No,Urban,713,871,93272,184123,41869.59375,4.397429878815607,9.351631861075436,0.8918947368421053,379.5135477419224,1
77082,6590,1417939,356,1,Female,Yes,0,Not Graduate,No,Urban,597,482,273233,83672,3982.974719101124,21.002141303466484,4.38673959651397,0.6914736842105262,270.771331618875,0
137407,123466,466447,40,0,Male,Yes,0,Graduate,No,Semiurban,390,742,663905,260873,11661.175,22.369154981810855,0.65337404836778,0.43557894736842107,246.556716923353,1
90890,9169,605489,338,1,Female,Yes,0,Graduate,No,Rural,634,534,739741,100059,1791.387573964497,55.82442182339182,0.7666931310391635,0.7250526315789474,288.76510117426403,0
84126,59775,2054657,264,0,Female,Yes,0,Graduate,Yes,Semiurban,535,945,87949,143901,7782.791666666667,18.487262527367232,14.894323264394812,0.5668421052631579,269.73582460426115,0
178964,104874,793156,62,1,Male,No,2,Graduate,Yes,Semiurban,364,895,684405,283838,12792.838709677419,22.18552276927654,1.0799980936948959,0.7917894736842106,366.0640378386827,1
32476,148558,1481197,312,0,Male,Yes,2,Graduate,No,Rural,661,809,382717,181034,4747.426282051282,38.12505222715488,3.4230155043596624,0.5493684210526316,271.358871525617,0
151274,128055,825507,62,1,Male,No,1,Graduate,No,Urban,328,797,654377,279329,13314.629032258064,20.97752943727296,1.1719675685037985,0.7391578947368421,343.23945543035603,0
153156,20581,695450,61,0,Female,No,0,Not Graduate,No,Urban,649,718,546017,173737,11400.819672131147,15.237655479208813,1.1668291340683234,0.5072631578947369,252.03302259380072,1
85298,148160,456750,212,1,Male,Yes,1,Not Graduate,No,Urban,446,681,48016,233458,2154.4811320754716,108.30899724703586,4.6599534769833495,0.7275789473684211,325.7401829414778,1
63555,98030,2327517,112,0,Male,Yes,0,Graduate,No,Urban,839,666,387399,161585,20781.401785714286,7.7750878683845235,5.321267309710356,0.5453684210526316,263.51745918151744,1
15981,26935,2353153,113,1,Female,Yes,1,Not Graduate,No,Rural,917,317,71161,42916,20824.36283185841,2.0607564125772435,19.42170335338929,0.7230526315789474,271.2795029132283,1
188310,67309,332205,79,1,Female,Yes,1,Graduate,No,Urban,905,909,271927,255619,4205.126582278481,60.77301645580287,1.0319264926520608,0.9685263157894737,428.7880640128743,0
190330,137682,915464,223,0,Male,Yes,0,Not Graduate,No,Rural,909,938,606050,328012,4105.219730941704,79.88174561831717,1.3954180321621827,0.682,363.2212463783637,1
59579,58937,1431462,21,1,Female,Yes,2,Graduate,Yes,Urban,365,642,547056,118516,68164.85714285714,1.7386416744033983,2.3975338996677027,0.6855789473684211,278.84810017858536,1
20903,27545,989051,97,1,Male,Yes,2,Graduate,Yes,Semiurban,631,865,563719,48448,10196.40206185567,4.751014003971094,1.6115697900830837,0.8634736842105264,332.8705740782013,1
37710,131262,1816549,204,1,Female,Yes,0,Graduate,No,Urban,445,561,528703,168972,8904.651960784313,18.973568779024998,3.139000489024595,0.6767368421052631,287.81675287198294,1
27513,142946,687563,181,1,Male,No,1,Graduate,No,Urban,362,372,11773,170459,3798.6906077348067,44.86128414061046,11.130477716801838,0.5709473684210526,244.75411238433196,1
168755,146339,194178,255,0,Male,Yes,1,Graduate,No,Urban,554,842,466314,315094,761.4823529411765,413.2475968585579,0.3760850955038988,0.5294736842105263,298.68114202024356,0
180003,143356,875490,87,1,Female,Yes,0,Not Graduate,No,Semiurban,579,631,388008,323359,10063.103448275862,32.12993603075458,1.9987991086920787,0.7485263157894737,357.03415235619826,0
43357,130928,1514747,237,1,Male,Yes,0,Not Graduate,Yes,Semiurban,492,911,422742,174285,6391.337552742616,27.264674082366547,3.2041726776973487,0.8389473684210527,356.32577512424274,1
153146,68173,492565,276,0,Male,No,1,Graduate,No,Rural,374,438,170225,221319,1784.6557971014493,123.94269957247876,2.236644341014871,0.3025263157894737,181.05300599433275,1
48164,28845,2048957,147,1,Male,Yes,3+,Graduate,No,Rural,565,611,564591,77009,13938.482993197278,5.524523401447658,3.3338545471703944,0.7356842105263157,287.6106379868767,0
82933,92573,80009,101,1,Male,Yes,1,Not Graduate,No,Semiurban,400,733,486034,175506,792.1683168316831,221.2720758956435,0.14926105433610554,0.7349473684210526,313.9938423499174,1
125885,33119,215441,205,1,Male,No,1,Graduate,No,Rural,326,389,322429,159004,1050.9317073170732,151.15429917550057,0.578475360404265,0.5667368421052632,240.24511560292103,1
148186,70973,1296648,213,1,Male,Yes,1,Graduate,No,Urban,593,947,45255,219159,6087.549295774648,35.99527397307807,13.612387801165292,0.8859999999999999,386.94033178675113,0
176793,98411,1304995,44,1,Female,Yes,0,Graduate,No,Urban,342,695,55014,275204,29658.977272727272,9.278631519824312,12.426866893937952,0.7006315789473685,326.0649039922661,0
23285,141986,772467,208,0,Female,Yes,0,Graduate,No,Semiurban,927,411,287203,165271,3713.783653846154,44.490074093247486,2.2908070212898464,0.46578947368421053,230.85265229686274,1
51340,43362,683465,65,1,Male,No,0,Graduate,Yes,Semiurban,844,781,429963,94702,10514.846153846154,9.005647155208989,1.4239951829620199,0.8953684210526316,356.8446170399979,1
66894,37787,221039,209,0,Male,No,3+,Graduate,Yes,Semiurban,901,870,797518,104681,1057.6028708133972,98.88599670957477,0.26080744007796886,0.6508421052631579,292.1441197795614,0
72409,110208,1674164,336,1,Female,No,2,Graduate,No,Semiurban,366,542,578764,182617,4982.630952380952,36.64336339205733,2.6626269951842025,0.6437894736842105,278.1712387805252,1
199635,968,978614,198,1,Male,Yes,3+,Graduate,Yes,Rural,602,696,388310,200603,4942.49494949495,40.57918578848645,2.2326983185416713,0.783157894736842,339.30654354791557,0
158819,84963,340759,277,1,Male,Yes,0,Not Graduate,No,Urban,835,786,239327,243782,1230.1768953068593,198.00728955300906,1.177764259816747,0.8946315789473684,395.42955725586336,1
74277,111887,1029605,119,0,Male,Yes,1,Graduate,No,Rural,674,394,134886,186164,8652.142857142857,21.514032886482205,5.568864056770118,0.3787368421052632,201.69522276862338,1
194787,82636,2345776,333,1,Male,No,1,Graduate,No,Semiurban,499,645,112600,277423,7044.372372372372,39.376627002411226,14.426666666666666,0.7291578947368422,337.5179475416289,0
107371,57593,690030,294,1,Male,No,0,Not Graduate,No,Semiurban,840,663,57510,164964,2347.0408163265306,70.25601891285831,6.4182866710073485,0.844421052631579,353.997679620137,1
107637,124282,2242085,331,1,Female,No,0,Not Graduate,No,Urban,500,495,729472,231919,6773.6706948640485,34.23325065465105,2.876415060451177,0.6663157894736842,299.5392775685759,1
95234,55655,683921,270,1,Female,Yes,2,Graduate,No,Urban,932,494,12700,150889,2533.0407407407406,59.54482008678863,10.907830940988836,0.8023157894736843,332.256179864715,0
41621,106579,505637,237,1,Male,No,1,Graduate,No,Urban,365,709,690999,148200,2133.4894514767934,69.4311231650569,0.6823720409879096,0.7137894736842105,298.3057025757396,0
187858,69621,688573,194,1,Male,No,1,Graduate,No,Rural,758,788,466806,257479,3549.3453608247423,72.52224046738593,1.3323626273688773,0.8711578947368421,389.72258902495855,1
17578,3986,842001,335,0,Male,No,0,Graduate,No,Semiurban,308,552,494747,21564,2513.4358208955223,8.5760789043802,1.5456734961367387,0.3296842105263158,140.7173641723566,1
47241,79577,345492,307,1,Male,No,1,Graduate,No,Urban,894,395,766922,126818,1125.3811074918567,112.58889123450328,0.42291920158840135,0.7486315789473683,303.9107489153181,0
57486,7418,1489705,157,0,Female,Yes,0,Not Graduate,Yes,Rural,530,811,629285,64904,9488.566878980891,6.839511310443518,2.1930485731320433,0.508842105263158,225.08231794855465,0
66670,139643,866948,41,1,Male,No,0,Not Graduate,Yes,Semiurban,313,412,117701,206313,21145.073170731706,9.756563232059461,5.1696054287094295,0.5723157894736842,254.96898323555035,0
39387,90233,1809252,13,0,Female,Yes,1,Not Graduate,No,Rural,842,302,775044,129620,139173.23076923078,0.9313505760626553,2.1929157717648997,0.3930526315789473,191.86566240126427,1
18322,55804,1252924,93,1,Male,Yes,0,Graduate,Yes,Semiurban,928,509,140860,74126,13472.301075268817,5.501695507722561,6.564623284082574,0.8073684210526315,314.3846242181462,1
140366,72928,1134507,33,1,Male,No,3+,Not Graduate,No,Semiurban,897,831,455407,213294,34379.0,6.204013961605584,2.244739388255406,0.9331578947368422,403.11251501477597,0
194322,92876,1203937,85,1,Male,No,0,Not Graduate,No,Semiurban,615,791,512517,287198,14163.964705882352,20.275235834561165,2.140267760796563,0.8272631578947369,380.1143088282541,0
37539,39027,432913,50,0,Male,No,0,Graduate,No,Semiurban,340,499,195345,76566,8658.26,8.842095052002135,1.7645071226232447,0.31747368421052635,149.7702376748588,0
69859,43259,1796557,353,0,Female,Yes,0,Graduate,No,Semiurban,448,637,504216,113118,5089.3966005665725,22.221844165817988,3.2416187912294125,0.40968421052631576,196.94193565426795,1
108671,62798,305171,45,1,Male,Yes,2,Graduate,No,Urban,320,923,511049,171469,6781.577777777778,25.280801137555045,0.5439293181165994,0.7896842105263158,336.19221467584,0
186587,38785,1817745,230,1,Male,Yes,0,Graduate,No,Rural,328,767,783893,225372,7903.239130434783,28.51280133115142,2.1798300261544346,0.7265263157894737,323.9338016255033,0
143438,113686,2499425,134,0,Male,No,0,Graduate,No,Semiurban,403,793,731674,257124,18652.425373134327,13.784277946629787,3.1975286372579874,0.4611578947368421,256.1301124769532,0
156744,15572,1921795,72,1,Male,No,0,Graduate,No,Semiurban,666,356,319754,172316,26691.597222222223,6.4555726280746795,5.197496173131325,0.6602105263157895,280.4378559044612,1
122506,123991,1165612,256,0,Female,No,0,Graduate,No,Semiurban,798,456,552118,246497,4553.171875,54.12553736786669,1.935853105205292,0.444,243.7618074751153,0
92151,52279,820465,349,1,Male,Yes,1,Graduate,No,Semiurban,680,367,656747,144430,2350.9025787965616,61.40985655702754,1.1609034067353663,0.6692631578947368,276.848627685655,1
51958,84183,2187702,287,1,Male,Yes,0,Graduate,No,Urban,433,936,20992,136141,7622.655052264809,17.857707237102197,30.816176470588236,0.8308421052631578,343.3893654140605,0
174898,23663,680118,351,0,Male,No,0,Graduate,Yes,Urban,691,522,547862,198561,1937.6581196581196,102.42187520665894,1.1375835895240038,0.438,229.4496080238963,1
163763,57805,1231821,217,0,Male,Yes,2,Not Graduate,Yes,Urban,450,624,733706,221568,5676.594470046083,39.02497812567469,1.5717896762306274,0.4048421052631579,223.16786982659562,0
19643,113189,1938639,246,0,Male,No,0,Not Graduate,No,Urban,599,658,96195,132832,7880.6463414634145,16.853331682900222,13.260638188720545,0.4662105263157895,224.6273797877236,1
147350,40604,2309776,62,0,Male,Yes,1,Graduate,No,Urban,877,639,602940,187954,37254.45161290323,5.045006619511844,3.537501148650718,0.546,270.4115129684248,1
30611,19841,2306342,308,1,Male,Yes,0,Graduate,No,Rural,387,333,48290,50452,7488.123376623376,6.736703010859905,23.46466578492217,0.5624210526315789,209.79261070412426,0
151712,78287,265010,272,1,Male,Yes,1,Not Graduate,No,Urban,868,891,321464,229999,974.3014705882352,235.82349348994657,0.7134204122068356,0.9492631578947368,414.33912271739223,0
167801,24373,2250745,100,1,Male,No,0,Graduate,No,Rural,476,547,655590,192174,22507.45,8.5378602258263,3.1898765572074432,0.6806315789473685,295.2858116517556,1
39245,47212,329347,135,1,Female,No,0,Not Graduate,No,Rural,735,896,789993,86457,2439.607407407407,35.42437826649104,0.3920830292633391,0.9093684210526316,361.1968166504097,1
95259,67569,1481966,224,1,Male,No,0,Not Graduate,Yes,Urban,469,797,582218,162828,6615.919642857143,24.607824907737875,2.344074354099377,0.7836842105263158,330.51625734819515,1
37894,84614,2327598,16,1,Male,No,3+,Graduate,No,Semiurban,406,752,577343,122508,145474.875,0.8421190111418818,3.7102478229612825,0.744842105263158,304.2630054733381,0
119947,95906,1654275,296,1,Male,Yes,0,Graduate,Yes,Semiurban,592,756,207324,215853,5588.766891891892,38.61574269100571,6.428762960314623,0.8052631578947369,352.5291276523692,1
186599,101497,2371357,109,0,Male,No,3+,Graduate,No,Rural,547,935,660352,288096,21755.56880733945,13.241793894578292,3.3382843998468363,0.5664210526315789,307.0482354201098,1
29960,126643,893618,38,1,Female,No,3+,Graduate,No,Semiurban,629,497,527116,156603,23516.263157894737,6.659065680754115,1.5484200749935888,0.7078947368421054,296.3946615416231,1
88551,9911,821057,127,1,Male,Yes,0,Graduate,No,Urban,453,513,754533,98462,6465.0157480314965,15.227615248226948,1.0205386230272717,0.6590526315789473,262.04908695689926,1
195027,54348,849228,302,0,Male,No,0,Not Graduate,No,Urban,935,735,482294,249375,2812.0132450331125,88.65048909396961,1.5954115582741868,0.6047368421052632,310.4615187572541,1
70675,160,920153,107,1,Female,Yes,0,Graduate,No,Rural,736,451,31662,70835,8599.56074766355,8.236090887357921,11.267823467463447,0.7223157894736842,279.37732754353925,1
39460,1416,1722874,199,1,Female,Yes,3+,Graduate,Yes,Urban,846,822,408764,40876,8657.658291457286,4.720823784018437,3.7554690429065927,0.9132631578947368,350.2480883838457,1
105388,31841,1158503,294,1,Female,Yes,1,Graduate,Yes,Rural,806,319,619535,137229,3940.486394557823,34.816560622783804,1.7303098419052028,0.6888421052631579,282.3227864963979,0
109048,89721,1856702,23,0,Male,No,1,Graduate,No,Urban,770,883,630350,198769,80726.17391304347,2.462231617498553,2.7290394649812595,0.6149473684210527,302.55379146610784,0
137629,134176,1069596,276,1,Male,Yes,0,Graduate,No,Semiurban,392,525,309077,271805,3875.3478260869565,70.11883664587913,2.9787371510845864,0.6448421052631579,301.67947360728004,0
